Year,WHO region,Country,Display Value
1984,Eastern Mediterranean,Egypt,0.06
1984,Africa,Sierra Leone,4.44
1986,Western Pacific,Papua New Guinea,1.15
1984,Western Pacific,Mongolia,0
1984,Africa,Sao Tome and Principe,0
1984,Eastern Mediterranean,Tunisia,0.47
1984,Americas,Venezuela (Bolivarian Republic of),0.12
1989,South-East Asia,Bhutan,0.31
1984,Eastern Mediterranean,United Arab Emirates,0.15
1987,Africa,Malawi,0.08
1987,Europe,Lithuania,
1984,Western Pacific,Japan,3.03
1987,Europe,Latvia,1.05
1987,Africa,Burkina Faso,3.67
1986,Western Pacific,Brunei Darussalam,0.1
1989,Africa,Ghana,0.02
1986,Americas,Mexico,2.97
1984,Europe,Sweden,1.55
1985,Americas,Dominican Republic,2.28
1987,Europe,Netherlands,0
1986,Africa,Cameroon,2.45
1989,Africa,Mauritania,0
1986,Eastern Mediterranean,Pakistan,0
1985,Americas,Trinidad and Tobago,0.16
1986,Africa,Congo,0.32
1987,Americas,Brazil,0.35
1984,Western Pacific,Singapore,1.02
1987,Americas,Guyana,0
1986,Africa,Cabo Verde,
1985,Europe,Malta,0.03
1986,Europe,Russian Federation,2.46
1989,Africa,Cameroon,4.08
1986,Europe,Portugal,0.93
1984,Europe,Romania,4.11
1986,Americas,El Salvador,
1989,Europe,Czech Republic,1.95
1986,Africa,Zimbabwe,1.39
1989,Americas,Bahamas,3.33
1989,Africa,Gabon,0.42
1986,South-East Asia,Sri Lanka,0.04
1989,Eastern Mediterranean,Djibouti,0.27
1984,Eastern Mediterranean,Yemen,0.15
1984,South-East Asia,Nepal,0.02
1987,Western Pacific,Samoa,3.11
1987,Africa,Sao Tome and Principe,0
1986,Eastern Mediterranean,Egypt,0.31
1986,Western Pacific,Lao People's Democratic Republic,
1985,Africa,Malawi,0.19
1987,Africa,Cameroon,0.02
1989,Africa,Equatorial Guinea,0
1989,Eastern Mediterranean,Oman,0
1986,Africa,Burkina Faso,0.02
1985,Eastern Mediterranean,Pakistan,0.01
1987,Eastern Mediterranean,Yemen,0.11
1987,Americas,Uruguay,3.85
1989,Africa,Algeria,0.01
1985,Africa,Eritrea,0.15
1984,Western Pacific,Philippines,1.32
1989,Eastern Mediterranean,Kuwait,0
1985,Africa,Cameroon,0.09
1987,Americas,Belize,0.02
1985,Western Pacific,Mongolia,0.36
1989,Africa,Niger,0.01
1985,Americas,Guyana,4.73
1986,Africa,Guinea-Bissau,1.17
1985,Africa,Mauritania,0.01
1987,Western Pacific,Solomon Islands,0
1985,Eastern Mediterranean,Yemen,0.22
1986,Africa,Rwanda,0.9
1986,Africa,Nigeria,0
1984,Africa,Ethiopia,0
1985,Africa,Sao Tome and Principe,0.01
1986,Europe,Denmark,2.66
1984,Western Pacific,Cambodia,
1986,Eastern Mediterranean,Sudan,0
1984,Africa,Uganda,0.1
1987,Africa,Equatorial Guinea,0.33
1984,Africa,Nigeria,0
1985,Eastern Mediterranean,Kuwait,0
1984,Western Pacific,Viet Nam,0.13
1984,Americas,Saint Lucia,0.1
1986,Africa,Eritrea,0.22
1987,Europe,Netherlands,2.48
1984,Europe,Lithuania,
1986,Europe,Germany,
1987,Africa,Malawi,0.28
1985,Americas,El Salvador,
1987,Eastern Mediterranean,Syrian Arab Republic,0.07
1987,Africa,Rwanda,0.01
1985,Americas,Nicaragua,0.74
1984,Africa,United Republic of Tanzania,6.14
1984,Western Pacific,Samoa,1.56
1985,Europe,Germany,2.82
1989,Africa,Comoros,0.01
1986,Western Pacific,Australia,7.39
1985,Western Pacific,Fiji,0.04
1985,Western Pacific,Philippines,0.12
1985,Eastern Mediterranean,Lebanon,0
1984,Europe,Turkey,0.07
1986,Africa,Congo,2.75
1987,Eastern Mediterranean,Saudi Arabia,0.21
1989,Western Pacific,Micronesia (Federated States of),0
1987,Americas,Guatemala,0.01
1986,Africa,Namibia,0.26
1986,Europe,Russian Federation,0.88
1987,Eastern Mediterranean,United Arab Emirates,0.61
1987,Eastern Mediterranean,Jordan,0.15
1985,Europe,Kyrgyzstan,4.38
1985,Americas,Peru,0.11
1986,Europe,Ukraine,1.34
1987,Western Pacific,China,2.82
1989,Africa,Burundi,0.01
1984,Americas,Chile,1.09
1984,Eastern Mediterranean,Egypt,0.01
1984,Europe,Spain,3.87
1987,Africa,Eritrea,0
1985,Africa,Central African Republic,1.21
1984,Eastern Mediterranean,Saudi Arabia,0
1984,Europe,Belgium,3.11
1989,South-East Asia,Myanmar,0
1984,Americas,United States of America,1.4
1987,Africa,Sao Tome and Principe,1.89
1987,Africa,Chad,0.02
1987,Africa,Nigeria,0.01
1985,Africa,Cabo Verde,1.39
1989,Africa,Cabo Verde,0.56
1987,Europe,Bulgaria,4.2
1987,Europe,Kyrgyzstan,0
1985,Africa,Gambia,0.06
1989,Americas,Guyana,0
1986,Western Pacific,Viet Nam,
1987,Africa,Cte d'Ivoire,0.34
1985,Americas,Honduras,0.94
1984,Western Pacific,China,2.19
1987,Europe,Czech Republic,6.93
1987,Africa,Mauritius,1.72
1984,Europe,United Kingdom of Great Britain and Northern Ireland,2.01
1989,Eastern Mediterranean,Qatar,0.09
1987,Africa,South Africa,1.69
1985,Europe,Portugal,2.49
1985,Americas,Saint Lucia,0.1
1986,Africa,Mauritania,0
1985,Europe,Portugal,1.08
1985,South-East Asia,Nepal,0.01
1987,Eastern Mediterranean,Somalia,0.01
1987,Western Pacific,Mongolia,0.19
1985,Europe,Spain,6.86
1986,Europe,Spain,3.99
1984,Europe,Netherlands,2.6
1987,Africa,Niger,0
1984,Africa,United Republic of Tanzania,0.14
1987,Americas,Peru,0.11
1984,South-East Asia,Bangladesh,0
1985,Europe,Israel,0.79
1987,South-East Asia,Indonesia,0.03
1984,Africa,Malawi,0.01
1984,Europe,Latvia,2.01
1986,Africa,Burundi,2.96
1987,Eastern Mediterranean,Sudan,0.25
1987,Americas,Mexico,0.08
1987,Eastern Mediterranean,Saudi Arabia,0
1984,Africa,Equatorial Guinea,
1987,Americas,Honduras,
1985,Eastern Mediterranean,Oman,0
1984,Europe,Romania,
1984,Western Pacific,Kiribati,0.04
1984,Eastern Mediterranean,Afghanistan,0
1984,Western Pacific,Vanuatu,
1985,Europe,Belarus,
1985,Europe,Latvia,6.55
1987,Africa,United Republic of Tanzania,0
1986,South-East Asia,Indonesia,0.04
1986,Eastern Mediterranean,Libya,0
1987,Africa,Cabo Verde,
1989,Africa,Rwanda,0.01
1989,Africa,Botswana,0.16
1987,Eastern Mediterranean,Afghanistan,0
1984,Western Pacific,Malaysia,0.5
1987,Europe,Denmark,7.17
1987,Americas,Colombia,2.32
1989,Western Pacific,Mongolia,0.24
1984,Africa,Democratic Republic of the Congo,0.43
1984,Europe,Greece,0.07
1987,Western Pacific,Mongolia,1.91
1984,Americas,United States of America,5.22
1986,Africa,Cte d'Ivoire,0.36
1984,Americas,Saint Kitts and Nevis,0.23
1986,Eastern Mediterranean,Syrian Arab Republic,0.11
1989,Africa,Comoros,
1984,Africa,Mauritania,0
1987,Africa,Sao Tome and Principe,0
1984,Europe,Turkey,0.49
1986,Africa,Lesotho,1.05
1987,South-East Asia,Bangladesh,0
1989,South-East Asia,Myanmar,0.02
1989,Africa,Zimbabwe,1.51
1989,Europe,Spain,3.5
1987,Africa,Botswana,0.18
1986,Americas,Panama,1.97
1986,South-East Asia,Myanmar,0.01
1985,South-East Asia,Nepal,0
1984,Western Pacific,Solomon Islands,0.98
1987,Americas,Venezuela (Bolivarian Republic of),3.88
1986,Europe,Turkey,0
1986,Western Pacific,Philippines,0.08
1986,Europe,Hungary,
1989,Europe,Latvia,0
1984,Eastern Mediterranean,Qatar,2.04
1984,Europe,Czech Republic,2.24
1986,Eastern Mediterranean,Somalia,0
1989,Americas,Venezuela (Bolivarian Republic of),3.55
1987,Africa,Namibia,0
1986,Europe,Iceland,0.01
1987,Western Pacific,Viet Nam,
1984,Africa,Sierra Leone,0.03
1985,Europe,Norway,1.77
1984,Europe,Belarus,
1987,Africa,South Africa,1.69
1985,Eastern Mediterranean,Sudan,0.25
1987,Europe,Finland,1.85
1987,Western Pacific,Malaysia,0.45
1986,Americas,Costa Rica,0.85
1985,Americas,Argentina,10.45
1989,Africa,Kenya,0
1985,Africa,Sierra Leone,0.03
1987,Europe,Switzerland,2.41
1987,Africa,Malawi,0.75
1989,Americas,Bahamas,1.5
1985,Africa,Malawi,0.31
1987,Africa,Eritrea,0.28
1985,Europe,Turkey,0.48
1986,Africa,Sao Tome and Principe,0
1987,Africa,Equatorial Guinea,0
1986,Europe,Greece,3.35
1985,Europe,Belgium,0
1985,Africa,Niger,0.1
1985,Americas,Belize,1.5
1986,Europe,Italy,1.43
1986,Eastern Mediterranean,Afghanistan,0
1984,Africa,United Republic of Tanzania,0
1985,Americas,Colombia,2.05
1986,Europe,Germany,2.72
1989,Europe,Cyprus,0
1986,Americas,Honduras,
1986,Eastern Mediterranean,Qatar,0.13
1986,Eastern Mediterranean,Bahrain,1.23
1984,Africa,Togo,1.76
1989,Eastern Mediterranean,Iran (Islamic Republic of),0
1987,Western Pacific,Philippines,2.8
1985,Africa,Madagascar,0.91
1984,Europe,Ireland,0.62
1985,Europe,Ukraine,1.75
1987,Americas,Antigua and Barbuda,0.34
1986,Africa,Guinea,0.02
1987,South-East Asia,Indonesia,
1986,Eastern Mediterranean,Tunisia,0
1987,Americas,Saint Kitts and Nevis,0.77
1989,Africa,Senegal,0.32
1984,Europe,United Kingdom of Great Britain and Northern Ireland,6.84
1989,Africa,Democratic Republic of the Congo,0
1984,Western Pacific,Kiribati,0.12
1985,Americas,Ecuador,0
1984,Americas,Bahamas,1.92
1984,Western Pacific,Kiribati,0.41
1985,Americas,Uruguay,0.33
1986,Americas,Nicaragua,0
1985,South-East Asia,Bhutan,
1989,Eastern Mediterranean,Pakistan,0
1986,Africa,Namibia,0
1989,Africa,Algeria,0.23
1985,Western Pacific,Cambodia,0
1984,Western Pacific,Republic of Korea,2.09
1986,Americas,United States of America,
1989,Eastern Mediterranean,Djibouti,0.25
1985,Africa,Guinea,0.05
1987,Americas,Uruguay,2.04
1989,Americas,Saint Kitts and Nevis,1.76
1987,Europe,Bulgaria,3.13
1987,Eastern Mediterranean,Bahrain,0
1989,Western Pacific,Japan,0.17
1989,Africa,Ethiopia,0.1
1989,Europe,Iceland,2.85
1986,Americas,Peru,0
1989,Western Pacific,Papua New Guinea,0.08
1984,Western Pacific,Singapore,1.01
1987,South-East Asia,Thailand,0.13
1986,Europe,Czech Republic,1.76
1985,South-East Asia,Nepal,0
1989,Eastern Mediterranean,Libya,0
1989,Africa,Guinea-Bissau,1.11
1985,Africa,Chad,0.01
1984,Americas,Jamaica,1.69
1984,Africa,Central African Republic,0.87
1987,Europe,Kyrgyzstan,0.71
1987,Western Pacific,Papua New Guinea,0.09
1986,Western Pacific,Samoa,0.1
1987,Africa,Mozambique,0.11
1989,Americas,Belize,
1987,Africa,Mali,0.01
1985,Africa,South Africa,3.15
1987,Africa,Lesotho,0.38
1985,Africa,Ghana,1.3
1985,Americas,United States of America,3.41
1986,Western Pacific,Solomon Islands,0.78
1986,Africa,Nigeria,5.96
1989,Africa,Gabon,2.43
1989,Americas,Mexico,0.01
1989,Africa,United Republic of Tanzania,0.19
1989,Western Pacific,Philippines,0.98
1984,Europe,Russian Federation,2.06
1986,Europe,Luxembourg,
1989,Eastern Mediterranean,Afghanistan,0
1984,Africa,Mozambique,0
1985,Americas,Chile,5.96
1986,Western Pacific,Singapore,0.51
1985,Africa,Gabon,5.4
1987,Americas,Guyana,0.93
1986,Western Pacific,Republic of Korea,7.06
1985,Eastern Mediterranean,Somalia,0
1986,Europe,Bulgaria,3.08
1984,Eastern Mediterranean,Syrian Arab Republic,0.08
1984,Africa,Ethiopia,0.58
1984,Western Pacific,Australia,3.43
1985,Americas,Chile,0
1989,Africa,Burkina Faso,0.38
1984,Africa,Madagascar,0.18
1986,Africa,South Africa,3.39
1987,South-East Asia,Bhutan,0.46
1986,Eastern Mediterranean,Syrian Arab Republic,0.83
1984,South-East Asia,Sri Lanka,0
1986,Africa,Kenya,0.01
1986,Africa,Mali,0.57
1987,South-East Asia,Sri Lanka,0.04
1985,Eastern Mediterranean,Syrian Arab Republic,0.08
1985,Africa,Ethiopia,0.54
1987,South-East Asia,Nepal,0.02
1987,South-East Asia,Bangladesh,0
1987,Western Pacific,Papua New Guinea,1.16
1984,Africa,Chad,0
1984,Americas,Trinidad and Tobago,0.13
1987,Americas,Ecuador,0
1985,Western Pacific,Cambodia,0
1987,Europe,Belarus,
1987,Americas,Costa Rica,3.3
1986,Western Pacific,China,0.02
1986,South-East Asia,India,0
1985,Americas,Honduras,0.01
1986,Eastern Mediterranean,Sudan,0
1986,Americas,Honduras,1.03
1985,South-East Asia,Thailand,2.32
1989,South-East Asia,Democratic People's Republic of Korea,0.34
1989,Americas,Paraguay,0
1985,Americas,Nicaragua,2.6
1985,South-East Asia,Democratic People's Republic of Korea,0.37
1986,Europe,Malta,1.78
1984,Africa,Burundi,4.82
1987,Americas,Brazil,1.9
1984,Eastern Mediterranean,Oman,0
1989,Americas,Guyana,0
1987,Eastern Mediterranean,Iran (Islamic Republic of),0
1989,South-East Asia,Thailand,3.71
1985,Americas,Haiti,0.03
1986,Western Pacific,Solomon Islands,0
1985,Americas,Guyana,0
1989,Eastern Mediterranean,Saudi Arabia,0.15
1986,Europe,Albania,
1985,Europe,Israel,0.63
1985,Africa,Chad,0.05
1989,Europe,Belgium,1.51
1989,Americas,Jamaica,2.3
1987,Europe,Ireland,0.59
1987,Europe,Hungary,
1987,Africa,Kenya,1.37
1989,Africa,Rwanda,6.6
1984,Africa,Uganda,7.53
1984,Eastern Mediterranean,United Arab Emirates,12.02
1987,Africa,Comoros,0.01
1985,Europe,Finland,1.74
1985,Eastern Mediterranean,Tunisia,0.48
1985,Africa,Guinea,0.01
1986,Europe,Denmark,1.93
1986,Europe,Slovakia,0
1986,South-East Asia,Bangladesh,0
1986,Europe,Netherlands,2.59
1987,Americas,Canada,4.83
1984,Americas,Nicaragua,0
1985,Western Pacific,Republic of Korea,0
1986,Africa,Sierra Leone,0.09
1989,Europe,Israel,0.69
1987,Europe,Hungary,6.42
1985,Eastern Mediterranean,Afghanistan,0
1984,South-East Asia,Thailand,5.8
1985,Africa,Sao Tome and Principe,0.75
1987,Europe,Netherlands,2.54
1984,Africa,Benin,0.5
1984,Americas,Colombia,2.07
1985,Americas,El Salvador,0.01
1986,Americas,Dominican Republic,2.42
1987,Americas,Bahamas,2.16
1984,Western Pacific,Viet Nam,0
1987,Americas,Venezuela (Bolivarian Republic of),5.14
1984,Africa,Botswana,1.33
1986,Europe,Belgium,0
1987,Americas,Cuba,1.92
1984,Europe,Iceland,1.19
1989,Eastern Mediterranean,Egypt,0.34
1987,Europe,United Kingdom of Great Britain and Northern Ireland,2.01
1986,Western Pacific,Mongolia,0.26
1986,Europe,Russian Federation,1.15
1984,Americas,Honduras,0.02
1987,Americas,Cuba,0.06
1986,Europe,Sweden,1.6
1986,Africa,Cte d'Ivoire,1.26
1989,Western Pacific,Fiji,
1984,Europe,Spain,0
1986,Europe,Iceland,1.07
1985,Africa,Cameroon,3.61
1989,Western Pacific,Lao People's Democratic Republic,1.33
1986,Americas,Panama,0.13
1985,Africa,Lesotho,0.05
1986,Europe,Netherlands,0
1986,South-East Asia,Nepal,0
1989,Americas,Saint Lucia,0.81
1985,Europe,Norway,0.82
1989,Americas,Saint Kitts and Nevis,0.62
1989,Europe,Russian Federation,2.6
1989,Africa,Zimbabwe,0.03
1985,Americas,Brazil,0
1985,Western Pacific,Viet Nam,
1984,Europe,Latvia,0.25
1989,Africa,United Republic of Tanzania,5.59
1989,Eastern Mediterranean,Tunisia,0.41
1985,Americas,Bolivia (Plurinational State of),2.32
1985,Western Pacific,Lao People's Democratic Republic,4.81
1986,Africa,Senegal,0.22
1987,Africa,Cabo Verde,0.46
1986,Africa,Chad,0.29
1989,Europe,Bulgaria,3.98
1989,Eastern Mediterranean,Qatar,0
1984,Eastern Mediterranean,Bahrain,3.75
1984,Europe,France,2.58
1989,Africa,Eritrea,0.08
1986,Western Pacific,Vanuatu,0.21
1985,Europe,Finland,0.83
1985,Europe,Ireland,7.72
1985,Africa,Zambia,0.02
1989,Americas,Antigua and Barbuda,1.3
1986,South-East Asia,Bangladesh,0
1989,Africa,Botswana,0.37
1985,Europe,Latvia,2.34
1986,Africa,Nigeria,1.3
1989,Africa,Ethiopia,0
1985,Western Pacific,Papua New Guinea,1.19
1989,Europe,United Kingdom of Great Britain and Northern Ireland,1.78
1985,Europe,Czech Republic,
1987,Europe,France,2.45
1987,Europe,Ukraine,
1989,Europe,Sweden,1.67
1985,Africa,Mauritius,1.69
1984,Eastern Mediterranean,Syrian Arab Republic,0.64
1985,Eastern Mediterranean,Jordan,0.01
1985,Africa,Burkina Faso,0
1984,Europe,Switzerland,0.31
1984,Americas,Guatemala,0.03
1987,Americas,Suriname,0.09
1989,Eastern Mediterranean,Lebanon,0
1989,Africa,United Republic of Tanzania,0.12
1987,Europe,Bulgaria,3.58
1984,Europe,Israel,0.17
1986,Americas,Jamaica,1.09
1985,Americas,Saint Lucia,2.12
1986,Africa,Algeria,0.01
1984,Europe,Slovakia,4.16
1985,Eastern Mediterranean,Egypt,0.3
1989,Europe,Luxembourg,6.99
1986,Africa,Mauritius,1.74
1987,Africa,Sierra Leone,4.36
1987,Europe,Spain,0
1985,Africa,Malawi,0.01
1986,Africa,Eritrea,0.08
1984,Eastern Mediterranean,Libya,0
1984,Americas,Brazil,0
1984,Europe,Cyprus,2.65
1989,Europe,Iceland,0.67
1985,Western Pacific,Japan,2.33
1989,Europe,Albania,0.52
1984,Africa,Mali,0
1986,South-East Asia,India,0
1987,Eastern Mediterranean,Afghanistan,0
1984,Africa,Mauritius,0.06
1987,Europe,Denmark,
1985,Africa,Madagascar,
1989,Africa,Mozambique,0.03
1984,Africa,Zambia,0.9
1984,Africa,Algeria,0.12
1989,Europe,Latvia,1.44
1985,Europe,Switzerland,7.21
1984,Africa,Kenya,0.47
1987,Europe,Croatia,3.66
1986,Americas,Cuba,0.04
1985,Europe,Poland,1.73
1986,Americas,Canada,
1984,South-East Asia,Sri Lanka,0.03
1989,Africa,Senegal,0.01
1989,Europe,Belgium,3.09
1984,South-East Asia,Indonesia,
1985,Western Pacific,Japan,0.09
1986,Africa,Burkina Faso,3.32
1989,Americas,Chile,2.59
1987,South-East Asia,Myanmar,0
1984,Europe,Ireland,0.57
1985,Americas,Paraguay,1.73
1989,Americas,United States of America,2.91
1987,Western Pacific,Singapore,0.97
1989,Africa,Togo,1.72
1985,Europe,Hungary,
1986,Europe,Hungary,6.37
1984,Americas,United States of America,3.56
1985,Western Pacific,New Zealand,2.26
1985,Europe,Malta,1.95
1989,Africa,Cabo Verde,
1985,Western Pacific,Vanuatu,0.31
1985,Western Pacific,Solomon Islands,0.05
1986,Eastern Mediterranean,Kuwait,0
1987,Europe,Italy,1.43
1987,Africa,United Republic of Tanzania,0.22
1987,Europe,Turkey,0.32
1989,South-East Asia,Bangladesh,0
1986,Eastern Mediterranean,Jordan,0.13
1986,Africa,Sierra Leone,0.01
1984,Africa,Guinea,0.04
1985,Americas,United States of America,
1984,Africa,Comoros,0.38
1985,Africa,Guinea-Bissau,0.47
1989,Africa,Lesotho,0.63
1989,Eastern Mediterranean,Sudan,0
1984,Eastern Mediterranean,Saudi Arabia,0
1984,Africa,Mauritius,0
1987,Africa,Seychelles,0.5
1989,Africa,Congo,1.11
1985,Africa,Burkina Faso,0
1984,Americas,Brazil,1.4
1986,Americas,Nicaragua,0
1985,Americas,Saint Kitts and Nevis,0
1987,Europe,Spain,3.7
1984,Africa,Senegal,0
1986,Western Pacific,Singapore,0.98
1986,Western Pacific,Kiribati,0.46
1985,Africa,Liberia,3.37
1989,South-East Asia,Democratic People's Republic of Korea,0
1985,Western Pacific,China,0.19
1985,Africa,South Africa,1.78
1985,Africa,Mozambique,0.02
1984,Europe,Spain,6.94
1986,Europe,France,2.71
1989,Europe,Malta,2.16
1985,Western Pacific,Papua New Guinea,0.07
1987,Western Pacific,Republic of Korea,1.32
1985,Eastern Mediterranean,Yemen,
1987,Europe,Albania,0.64
1984,Eastern Mediterranean,Tunisia,0.59
1989,Americas,Cuba,1.87
1985,Eastern Mediterranean,Iraq,0
1987,Africa,Mozambique,0
1986,Africa,Zimbabwe,0.24
1985,Americas,Belize,0.01
1986,Western Pacific,New Zealand,2.43
1989,South-East Asia,Indonesia,0
1984,Eastern Mediterranean,Djibouti,0
1984,Africa,Togo,0.01
1985,Europe,Sweden,2.85
1985,Americas,Belize,0.17
1989,Africa,Sierra Leone,4.15
1985,Americas,Brazil,1.93
1985,Eastern Mediterranean,Jordan,0.08
1986,Americas,Venezuela (Bolivarian Republic of),4.49
1989,Africa,Burundi,5.3
1989,Africa,Guinea,0.11
1986,South-East Asia,Sri Lanka,0.15
1989,Americas,Panama,1.43
1987,Africa,Burkina Faso,0.38
1986,Africa,Ethiopia,0.09
1989,South-East Asia,Bangladesh,0
1985,Europe,Denmark,2.79
1986,Europe,Bulgaria,4.07
1987,South-East Asia,Myanmar,0
1987,Eastern Mediterranean,Kuwait,0
1987,Eastern Mediterranean,Somalia,0
1986,Americas,Panama,0
1986,Africa,Congo,2.33
1984,Eastern Mediterranean,Yemen,
1984,South-East Asia,Myanmar,0.01
1985,Africa,Niger,0.01
1987,Western Pacific,Republic of Korea,2.02
1984,Americas,Ecuador,1.01
1989,Americas,Bahamas,7.45
1986,Eastern Mediterranean,Egypt,0.01
1987,Western Pacific,Micronesia (Federated States of),0
1987,Africa,Eritrea,0.11
1989,Americas,Honduras,
1987,Europe,Cyprus,3.13
1985,Western Pacific,New Zealand,2.1
1986,Americas,Uruguay,2.05
1984,South-East Asia,Sri Lanka,0
1984,Africa,Democratic Republic of the Congo,0
1986,Europe,Cyprus,1.9
1989,Western Pacific,Kiribati,0
1985,Eastern Mediterranean,Sudan,0
1987,Europe,Romania,2.64
1984,Africa,Zimbabwe,0.26
1985,Africa,Togo,0.22
1989,Western Pacific,Samoa,0.07
1985,South-East Asia,India,0
1987,Europe,Switzerland,7.16
1986,Americas,Argentina,1.45
1987,Americas,Saint Kitts and Nevis,0
1987,Africa,Mozambique,0.15
1989,Europe,Portugal,9.48
1989,Western Pacific,Brunei Darussalam,0.36
1984,Eastern Mediterranean,Lebanon,0.44
1989,Europe,Cyprus,2.18
1986,Eastern Mediterranean,Syrian Arab Republic,0.08
1985,Europe,Belgium,2.61
1986,Americas,Guyana,4.72
1989,Americas,Jamaica,0.67
1989,Europe,France,2.56
1984,Western Pacific,Lao People's Democratic Republic,0
1984,Eastern Mediterranean,Bahrain,0
1987,Eastern Mediterranean,Djibouti,0.73
1986,Europe,Latvia,1.19
1987,Europe,Spain,4.26
1984,Africa,Sao Tome and Principe,0
1984,Africa,Ghana,0
1987,Africa,Gabon,
1987,Americas,Bolivia (Plurinational State of),0
1989,Africa,Equatorial Guinea,0.67
1989,Americas,Saint Lucia,8.36
1985,Africa,Rwanda,6.56
1986,Eastern Mediterranean,Somalia,0.01
1989,Africa,Zambia,1.01
1986,Africa,Niger,0.14
1984,Africa,Congo,0.01
1984,Africa,Sierra Leone,0.01
1984,Americas,Peru,0
1985,Europe,Romania,4.09
1987,Americas,Bahamas,4.11
1984,Eastern Mediterranean,Afghanistan,0
1986,Africa,Seychelles,0.43
1986,Americas,Haiti,0
1985,Americas,Mexico,1.54
1985,Americas,Haiti,6.37
1989,Americas,Guatemala,0
1986,Europe,Sweden,0
1985,Western Pacific,Brunei Darussalam,0
1986,Africa,Cte d'Ivoire,1
1985,Europe,Poland,5.47
1987,Africa,Liberia,
1989,Americas,Panama,0
1986,Eastern Mediterranean,Libya,0
1984,Africa,Gabon,1.38
1987,Eastern Mediterranean,Yemen,0.06
1987,Europe,Germany,3.66
1989,Europe,Germany,
1987,Africa,Cte d'Ivoire,1.01
1987,Europe,Iceland,1.08
1984,Europe,Denmark,2.56
1987,Africa,Cabo Verde,2.13
1986,Africa,Rwanda,0.01
1985,Eastern Mediterranean,Kuwait,0
1989,Western Pacific,Japan,2.63
1987,Africa,Togo,0.28
1985,Europe,Russian Federation,4.01
1986,Western Pacific,Fiji,0.11
1986,Americas,Saint Lucia,0.57
1984,Europe,Bulgaria,4.04
1985,Europe,Bulgaria,4.02
1987,Africa,Burundi,2.85
1989,Western Pacific,Papua New Guinea,0.04
1985,Americas,Honduras,
1986,Western Pacific,Vanuatu,0.89
1984,Eastern Mediterranean,Sudan,0.26
1989,Africa,Cte d'Ivoire,0.93
1987,Africa,Togo,2.23
1987,Eastern Mediterranean,Afghanistan,0
1984,Africa,Malawi,0.7
1989,Eastern Mediterranean,Pakistan,0.01
1986,Africa,Liberia,0.02
1989,Africa,Guinea,
1984,Africa,Sao Tome and Principe,0.94
1989,Europe,Poland,1.22
1985,Europe,Malta,1.76
1989,Eastern Mediterranean,Yemen,0
1987,Western Pacific,Australia,1.65
1987,Africa,Swaziland,2.15
1985,Europe,Turkey,0.18
1984,Eastern Mediterranean,Libya,0
1986,Africa,Comoros,0.13
1984,Western Pacific,Samoa,0
1984,Europe,Iceland,0.01
1986,Europe,France,2.55
1989,Europe,Portugal,4.23
1987,Eastern Mediterranean,Iran (Islamic Republic of),0
1989,Western Pacific,Mongolia,2.35
1987,Americas,Saint Lucia,0.76
1984,Africa,Seychelles,0.63
1986,Europe,Slovenia,10.78
1986,Africa,Botswana,1.69
1987,Africa,Madagascar,0.19
1989,Africa,Chad,0.28
1986,Africa,Burkina Faso,0.35
1985,Western Pacific,Kiribati,0
1985,Americas,Bahamas,0.03
1984,Europe,Sweden,0
1989,Eastern Mediterranean,Bahrain,1.11
1985,South-East Asia,Thailand,0.14
1987,Africa,Equatorial Guinea,2.07
1984,Europe,Germany,2.78
1989,Africa,Mali,0.01
1985,Western Pacific,Viet Nam,0
1984,Eastern Mediterranean,Iran (Islamic Republic of),0
1986,Europe,Finland,1.82
1986,Europe,Lithuania,
1989,South-East Asia,Thailand,0.21
1986,Eastern Mediterranean,Djibouti,0.34
1984,Africa,Burkina Faso,0.02
1985,Africa,Congo,2.67
1989,Africa,Swaziland,1.65
1984,Eastern Mediterranean,Sudan,0
1989,South-East Asia,Sri Lanka,0
1985,Europe,Ireland,0.6
1985,Africa,Senegal,0.22
1989,Africa,South Africa,4.18
1986,Americas,Ecuador,1.38
1986,Western Pacific,New Zealand,7.92
1984,Africa,Seychelles,0.28
1986,Africa,Cameroon,3.96
1984,Africa,Liberia,0.64
1986,Americas,United States of America,1.48
1984,Americas,Antigua and Barbuda,0
1989,Africa,Ghana,1.45
1986,Africa,Eritrea,0
1986,Europe,Ukraine,1.01
1986,Europe,Poland,1.24
1985,Western Pacific,Philippines,2.83
1989,Americas,Belize,
1985,Western Pacific,Vanuatu,0.9
1986,Western Pacific,Malaysia,0.01
1989,Americas,Honduras,0.02
1989,Americas,Saint Kitts and Nevis,2.27
1986,Americas,Dominican Republic,0
1984,Africa,Benin,0.08
1984,Africa,Chad,0.29
1984,Americas,Mexico,2.68
1984,Africa,South Africa,1.96
1989,Europe,Switzerland,7.14
1989,Western Pacific,Republic of Korea,5.69
1985,Eastern Mediterranean,Saudi Arabia,0
1986,Americas,Mexico,0.06
1987,Africa,Angola,0.91
1985,Americas,Bahamas,4.31
1989,Africa,Rwanda,0.94
1989,Africa,Mauritius,0.13
1989,Africa,Central African Republic,1.15
1989,Eastern Mediterranean,Somalia,0
1989,Americas,Trinidad and Tobago,0.08
1984,Europe,Luxembourg,
1987,Europe,Israel,0
1984,Europe,United Kingdom of Great Britain and Northern Ireland,1.31
1989,Africa,Sierra Leone,0.01
